t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770271237.0782743,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.11458333333333333,0.005978299154105717,0.11233791292127467,0.010291327107097795,-0.004512953964332394
1770271237.4963722,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.11458333333333333,0.0057942931689009426,0.11530587857013114,0.00916716489103884,-0.002521397319472653
1770271237.9178677,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.11458333333333333,0.006513500636221607,0.11235048423542568,0.008046945672496142,-0.0031115935378991867
1770271238.334701,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.10416666666666666,0.005933296280120048,0.10691798085158433,0.007486271486009107,-0.003583869206510902
1770271238.761443,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.09375,0.004909351044379525,0.10158301990286175,0.006615863051038605,-0.008773316749688344
1770271239.1846404,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.09375,0.0058184527954432495,0.0941241253637234,0.006218108914150402,-0.0006137288367657982
1770271239.6002553,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.10416666666666666,0.014630464850643137,0.05519061202742501,-0.04841237978629249,-0.08596052582775375
1770271240.0256615,1.2836028185194723,0.0,0.020000000000331714,1.2515569973015779,0.0,0.0914357924300433,0.25,0.03766749184791326,0.19819669005163734,-0.06776561308214911,-0.1064551857429795
1770271240.4559727,1.2839833284169428,0.0,0.020000000000272005,1.2515569973015779,0.0,0.0914357924300433,0.25,0.05837466680162639,0.24954414376802284,-0.07138659442339063,-0.06569858497860982
1770271240.8715653,1.2844765101474516,0.0,0.020000000000223044,1.2515569973015779,0.0,0.0914357924300433,0.25,0.04036904800548211,0.2523438462662684,-0.04720548637475907,-0.048549224261252126
1770271241.28907,1.2849149655443421,0.0,0.020000000000182896,1.2515569973015779,0.0,0.0914357924300433,0.25,0.042081597055043704,0.25267530944345457,-0.028412519804878807,-0.03980166453040385
1770271241.714111,1.2853263090223066,0.0,0.020000000000149974,1.2515569973015779,0.0,0.0914357924300433,0.25,0.03779425808024922,0.25191212097464916,-0.01423198283578906,-0.02934329512957727
1770271242.1338406,1.2857083513194314,0.0,0.02000000000012298,1.2515569973015779,0.0,0.0914357924300433,0.22916666666666674,0.03290052634207833,0.23366092559338902,-0.004030400477388487,-0.023979880572295748
1770271242.541167,1.2860468514508,0.0,0.020000000000100843,1.2515569973015779,0.0,0.0914357924300433,0.21875000000000006,0.02716126255858093,0.227866521930449,0.002825349208336518,-0.021970053574143663
1770271242.954831,1.2863616330224268,0.0,0.02000000000008269,1.2515569973015779,0.0,0.0914357924300433,0.19791666666666674,0.02439544253703267,0.2214854002652518,0.006812574207947875,-0.03275889026308858
1770271243.3718405,1.2866646574097864,0.0,0.020000000000067807,1.2515569973015779,0.0,0.0914357924300433,0.18750000000000006,0.019826146450734054,0.19632847240418655,0.010476528351663805,-0.013869676868093211
1770271243.8034365,1.286918037632703,0.0,0.020000000000055602,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.017026845799355577,0.17455975316094652,0.011001707179463237,-0.010958173687005917
1770271244.2227814,1.2871391355121127,0.0,0.020000000000055602,1.2515569973015779,0.0,0.0914357924300433,0.18750000000000006,0.01395320881921593,0.1744033091358995,0.011101405772516549,-0.014532562246755584
1770271244.6401844,1.2873465175777665,0.0,0.020000000000045592,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.01124092313207628,0.17414077415182588,0.00999173832428875,-0.008209666633875717
